mvt	13
hiyowat	13
os	12
cē	11
mvn	10
s	9
mv	9
m	9
hm	9
owēs	7
yv	6
on	6
le	6
it	6
hvtą	6
hompetv	6
em	6
elouise	6
cvtv	6
nake	5
hakv	5
cate	5
ye	4
wakv	4
tvlak	4
sakpoloke	4
pvrko	4
peswv	4
owisen	4
ont	4
lvksv	4
hokvs	4
h	4
ēcko	3
vneu	3
vlosv	3
vloso	3
vlose	3
tē	3
sokhv	3
sekot	3
sakkonepke	3
owen	3
onkv	3
oken	3
naket	3
heyvt	3
herąkusēt	3
aret	3
ēmeu	2
yvt	2
you	2
vm	2
tv	2
ton	2
to	2
tat	2
tan	2
talak	2
pumvhayvrēs	2
penkalet	2
owēt	2
owē	2
owvnk	2
owv	2
owis	2
owa	2
omat	2
oh	2
now	2
nettv	2
naken	2
n	2
mucv	2
mowis	2
mowen	2
mak	2
mahket	2
liket	2
kowis	2
kihocen	2
is	2
i	2
hvmmēcet	2
hoktē	2
heyv	2
hecekot	2
hayvyvtē	2
hayeyat	2
ha	2
etenhǫmpet	2
ele	2
afke	2
ę̄	1
ēme	1
ēhę̄	1
yvn	1
yvmv	1
yih	1
will	1
wik	1
what	1
was	1
wakkē	1
vyopket	1
vwahēpvtēt	1
vwahemvtok	1
vtēt	1
vnkoslēt	1
vnicetskat	1
vmvhayet	1
vmvhayeccen	1
vmvha	1
vkerricet	1
vhvmkucvn	1
vfopken	1
vcewē	1
ugly	1
uewvn	1
ue	1
tot	1
told	1
toktuswv	1
that	1
tenokēcet	1
tencaket	1
ten	1
tem	1
te	1
tayēs	1
takētt	1
taklikucen	1
takehpen	1
sēmvhayeyat	1
stowet	1
stit	1
should	1
she	1
shawnee	1
setenorkat	1
setehorkēt	1
setehorkat	1
scem	1
say	1
sasakwa	1
sakp	1
sakhorkētt	1
rvnakuecet	1
roret	1
ready	1
rakkē	1
rakko	1
rakkat	1
pvhen	1
pvhe	1
pum	1
polǫksus	1
poloksē	1
poloksicet	1
pohvtēs	1
peranan	1
owētok	1
owēn	1
owvtēt	1
owvkvccvs	1
owvhanetskvtēs	1
owvhanat	1
owvcoks	1
owvcok	1
owimvts	1
owephoyēt	1
owemvts	1
owemvtan	1
owat	1
ow	1
onkat	1
onayet	1
onahyet	1
omvlkvhanet	1
omvlkeyat	1
omen	1
oman	1
omacokat	1
okvnk	1
okvcoks	1
okhoyvnts	1
okes	1
ok	1
ohwen	1
ohoyemvts	1
ohmvyatat	1
ohkvyan	1
ofvn	1
ocē	1
ocvt	1
o	1
noricepvkvrēs	1
nobody	1
nak	1
mvwetēnit	1
mvttecihcen	1
mvts	1
mvto	1
mvo	1
mvnę̄ttusēt	1
mvnettakat	1
mvha	1
mǫrke	1
morkēn	1
mont	1
mon	1
momvtēkē	1
mean	1
ma̜hēt	1
maskoke	1
maketsken	1
maket	1
make	1
mahēt	1
mahokvnts	1
mahkekot	1
mahekon	1
mahat	1
lopockvkusēt	1
lokosko	1
linda	1
likēt	1
lelposwvlv	1
learn	1
lanet	1
kute	1
kowvhan	1
kont	1
komēt	1
kohmet	1
know	1
kihocvtē	1
kihcet	1
kicēt	1
kicvkēt	1
kicvkēs	1
kicv	1
kicet	1
kicakhą	1
kerrētt	1
kerrēpet	1
kerrepekot	1
kerrak	1
kec	1
janet	1
hę̄rēt	1
hę̄rē	1
hę̄rus	1
hę̄ren	1
hę̄re	1
hę̄rat	1
hē̜ret	1
hēhkē̜pvcoken	1
hēhket	1
hvteceskv	1
hvnkē	1
hvnket	1
hvfe	1
hvcce	1
hue̜rvtētot	1
how	1
hoof	1
hompepvkvrēs	1
hompaks	1
hoktvlēt	1
hoktvlē	1
hįyen	1
hiyowēt	1
hiyowēcvs	1
hiyowē	1
hiy	1
here	1
herąkusv	1
hehcvs	1
hecvyvtē	1
hecarēs	1
hąyvyvtē	1
hayēpē	1
hayvt	1
hayv	1
hayimvtisen	1
hayetvn	1
hayetv	1
hayet	1
hayat	1
harjo	1
hakētt	1
hakēs	1
hakvt	1
hak	1
hahyēs	1
hahoyē	1
going	1
go	1
fullēt	1
fullepvkvccvs	1
fannie	1
factor	1
etetakuecak	1
estowusat	1
estomēt	1
estofis	1
estepapvt	1
este	1
esmorkēt	1
enhvteceskv	1
elaksv	1
eaten	1
cēmeu	1
cvkicemvts	1
cvhosēt	1
cvccuste	1
cih	1
ci	1
cenhahką	1
cekfēt	1
cekerrētt	1
cehocefkv	1
ccen	1
be	1
barnett	1
ayvtēs	1
ayet	1
avtehvhan	1
avtehit	1
avtehhit	1
avtehaket	1
at	1
asēsetskehą	1
asohwvkēcis	1
as	1
arat	1
ankle	1
all	1
aktēhat	1
akpiket	1
akohyin	1
akcēyvtēs	1
ahēret	1
about	1
